,sqft,price,beds,baths,address,city,zip_code
225,"2,348 sq ft","$789,000",3 beds,1.5 baths,187 N H St, Salt Lake City, 84103
226,"2,080 sq ft","$995,000",3 beds,3.5 baths,29 S State St E #212, Salt Lake City, 84111
227,"1,643 sq ft","$875,000",3 beds,3.5 baths,847 S 800 E #107, Salt Lake City, 84102
228,"1,309 sq ft","$555,000",3 beds,1 bath,750 E Browning Ave S, Salt Lake City, 84105
229,"1,602 sq ft","$444,000",2 beds,2.5 baths,596 E 4030 S, Salt Lake City, 84107
230,"3,473 sq ft","$964,000",5 beds,3 baths,532 E 600 S, Salt Lake City, 84102
231,"3,346 sq ft","$669,900",3 beds,2 baths,816 S 500 E, Salt Lake City, 84102
232,"1,650 sq ft","$575,000",3 beds,2 baths,2205 S 800 E, Salt Lake City, 84106
233,"2,189 sq ft","$899,000",3 beds,2.5 baths,136 S 700 E #1, Salt Lake City, 84102
234,"1,097 sq ft","$380,000",3 beds,1 bath,1223 S Navajo St, Salt Lake City, 84104
235,"3,952 sq ft","$2,300,000",5 beds,5.5 baths,648 N East Capitol St #1, Salt Lake City, 84103
236,"2,792 sq ft","$1,139,000",4 beds,3 baths,773 E Northcliffe Dr, Salt Lake City, 84103
237,"3,402 sq ft","$825,000",4 beds,3 baths,840 S West Temple, Salt Lake City, 84101
238,"1,609 sq ft","$559,000",2 beds,1 bath,1721 S Roberta St, Salt Lake City, 84115
239,624 sq ft,"$345,000",2 beds,1 bath,515 N Dexter St, Salt Lake City, 84116
240,"1,643 sq ft","$970,000",3 beds,3.5 baths,847 S 800 E #104, Salt Lake City, 84102
241,"1,768 sq ft","$445,000",3 beds,2 baths,1236 N Victoria Way, Salt Lake City, 84116
242,"4,600 sq ft","$2,400,000",4 beds,3 baths,1075 S Alton Way E, Salt Lake City, 84108
243,"2,358 sq ft","$1,250,000",4 beds,2.5 baths,4061 E Adonis Cir, Millcreek, 84124
244,"1,234 sq ft","$729,000",3 beds,2 baths,1103 E Crandall Ave, Salt Lake City, 84106
245,"3,640 sq ft","$930,000",5 beds,2.5 baths,1624 E Maple Ave S, Salt Lake City, 84106
246,"1,632 sq ft","$599,000",3 beds,3 baths,3328 S 3040 E, Salt Lake City, 84109
247,"1,320 sq ft","$410,000",2 beds,2 baths,637 E 3950 S Unit E, Salt Lake City, 84107
248,892 sq ft,"$390,000",1 bed,1 bath,88 S 900 E #103, Salt Lake City, 84102
249,"1,337 sq ft","$460,000",2 beds,1.5 baths,44 W 300 S #702, Salt Lake City, 84101
250,854 sq ft,"$569,000",1 bed,1 bath,35 E 100 S #909, Salt Lake City, 84111
251,759 sq ft,"$450,000",3 beds,1 bath,2759 S 700 E, Salt Lake City, 84106
252,733 sq ft,"$549,900",2 beds,1.5 baths,360 W 300 S #612, Salt Lake City, 84101
253,"1,480 sq ft","$559,000",2 beds,1 bath,447 E Edith Ave S, Salt Lake City, 84111
254,"1,669 sq ft","$450,000",3 beds,2.5 baths,4443 S 1025 E Unit B2, Millcreek, 84124
255,"1,920 sq ft","$520,000",4 beds,2.5 baths,1768 W Crystal Rock Ave N, Salt Lake City, 84116
256,"1,198 sq ft","$528,897",3 beds,2 baths,783 E Springview Dr, Millcreek, 84106
257,"1,072 sq ft","$534,900",3 beds,2 baths,551 E Commonwealth Ave, Salt Lake City, 84106
258,612 sq ft,"$258,000",1 bed,1 bath,650 N 300 W #119, Salt Lake City, 84103
259,"2,027 sq ft","$785,000",4 beds,2.5 baths,857 E Forest Farm Cir, Salt Lake City, 84106
260,"1,980 sq ft","$649,000",3 beds,2.5 baths,1118 S West Temple W, Salt Lake City, 84101
261,"1,932 sq ft","$475,000",5 beds,3 baths,1072 Starcrest Dr, Salt Lake City, 84116
262,"2,000 sq ft","$949,900",5 beds,3 baths,1911 S 1600 E, Salt Lake City, 84105
263,"1,671 sq ft","$794,000",2 beds,2.5 baths,351 N Wall St, Salt Lake City, 84103
264,"1,875 sq ft","$825,000",2 beds,2 baths,875 S Donner Way #601, Salt Lake City, 84108
265,"1,210 sq ft","$365,000",2 beds,2.5 baths,4775 S Pintail Ct E, Millcreek, 84117
266,"1,485 sq ft","$599,900",3 beds,2 baths,230 E Hampton Ave, Salt Lake City, 84111
267,"2,300 sq ft","$725,000",4 beds,1.5 baths,3098 S Miramar Way, Millcreek, 84109
268,"3,210 sq ft","$650,000",4 beds,4 baths,735 W 400 N Unit 1-4, Salt Lake City, 84116
269,"1,768 sq ft","$585,000",3 beds,1 bath,2800 S 2300 E, Salt Lake City, 84109
270,852 sq ft,"$299,999",2 beds,1 bath,251 S 700 E #10, Salt Lake City, 84102
271,"1,768 sq ft","$599,000",3 beds,2.5 baths,1140 E Parkway Ave Ave E Unit E4, Salt Lake City, 84106
272,"2,052 sq ft","$439,900",3 beds,2 baths,5951 S Red Zinc Dr, Kearns, 84118
273,"5,391 sq ft","$3,499,000",6 beds,5.5 baths,2221 S Oneida St, Salt Lake City, 84109
